"ENSEMBL" "SYMBOL" "GENENAME"
"5171" "ENSG00000127054" "INTS11" "integrator complex subunit 11"
"5172" "ENSG00000127074" "RGS13" "regulator of G protein signaling 13"
"5173" "ENSG00000127080" "IPPK" "inositol-pentakisphosphate 2-kinase"
"5175" "ENSG00000127084" "FGD3" "FYVE, RhoGEF and PH domain containing 3"
"5176" "ENSG00000127124" "HIVEP3" "HIVEP zinc finger 3"
"5178" "ENSG00000127152" "BCL11B" "BAF chromatin remodeling complex subunit BCL11B"
"5180" "ENSG00000127191" "TRAF2" "TNF receptor associated factor 2"
"5181" "ENSG00000127220" "ABHD8" "abhydrolase domain containing 8"
"5182" "ENSG00000127241" "MASP1" "mannan binding lectin serine peptidase 1"
"5183" "ENSG00000127249" "ATP13A4" "ATPase 13A4"
"5184" "ENSG00000127311" "HELB" "DNA helicase B"
"5186" "ENSG00000127324" "TSPAN8" "tetraspanin 8"
"5187" "ENSG00000127325" "BEST3" "bestrophin 3"
"5188" "ENSG00000127328" "RAB3IP" "RAB3A interacting protein"
"5189" "ENSG00000127329" "PTPRB" "protein tyrosine phosphatase receptor type B"
"5190" "ENSG00000127334" "DYRK2" "dual specificity tyrosine phosphorylation regulated kinase 2"
"5191" "ENSG00000127337" "YEATS4" "YEATS domain containing 4"
"5192" "ENSG00000127362" "TAS2R3" "taste 2 receptor member 3"
"5193" "ENSG00000127364" "TAS2R4" "taste 2 receptor member 4"
"5194" "ENSG00000127366" "TAS2R5" "taste 2 receptor member 5"
"5195" "ENSG00000127399" "LRRC61" "leucine rich repeat containing 61"
"5196" "ENSG00000127415" "IDUA" "alpha-L-iduronidase"
"5197" "ENSG00000127418" "FGFRL1" "fibroblast growth factor receptor like 1"
"5199" "ENSG00000127423" "AUNIP" "aurora kinase A and ninein interacting protein"
"5201" "ENSG00000127452" "FBXL12" "F-box and leucine rich repeat protein 12"
"5202" "ENSG00000127463" "EMC1" "ER membrane protein complex subunit 1"
"5204" "ENSG00000127483" "HP1BP3" "heterochromatin protein 1 binding protein 3"
"5205" "ENSG00000127507" "ADGRE2" "adhesion G protein-coupled receptor E2"
"5206" "ENSG00000127511" "SIN3B" "SIN3 transcription regulator family member B"
"5209" "ENSG00000127528" "KLF2" "Kruppel like factor 2"
"5210" "ENSG00000127530" "OR7C1" "olfactory receptor family 7 subfamily C member 1"
"5211" "ENSG00000127533" "F2RL3" "F2R like thrombin or trypsin receptor 3"
"5212" "ENSG00000127540" "UQCR11" "ubiquinol-cytochrome c reductase, complex III subunit XI"
"5213" "ENSG00000127554" "GFER" "growth factor, augmenter of liver regeneration"
"5214" "ENSG00000127561" "SYNGR3" "synaptogyrin 3"
"5215" "ENSG00000127564" "PKMYT1" "protein kinase, membrane associated tyrosine/threonine 1"
"5216" "ENSG00000127578" "WFIKKN1" "WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
"5217" "ENSG00000127580" "WDR24" "WD repeat domain 24"
"5218" "ENSG00000127585" "FBXL16" "F-box and leucine rich repeat protein 16"
"5219" "ENSG00000127586" "CHTF18" "chromosome transmission fidelity factor 18"
"5222" "ENSG00000127663" "KDM4B" "lysine demethylase 4B"
"5223" "ENSG00000127666" "TICAM1" "toll like receptor adaptor molecule 1"
"5224" "ENSG00000127720" "METTL25" "methyltransferase like 25"
"5225" "ENSG00000127774" "EMC6" "ER membrane protein complex subunit 6"
"5226" "ENSG00000127804" "METTL16" "methyltransferase like 16"
"5227" "ENSG00000127824" "TUBA4A" "tubulin alpha 4a"
"5228" "ENSG00000127831" "VIL1" "villin 1"
"5229" "ENSG00000127837" "AAMP" "angio associated migratory cell protein"
"5231" "ENSG00000127863" "TNFRSF19" "TNF receptor superfamily member 19"
"5233" "ENSG00000127884" "ECHS1" "enoyl-CoA hydratase, short chain 1"
"5234" "ENSG00000127903" "ZNF835" "zinc finger protein 835"
"5235" "ENSG00000127914" "AKAP9" "A-kinase anchoring protein 9"
"5237" "ENSG00000127946" "HIP1" "huntingtin interacting protein 1"
"5238" "ENSG00000127947" "PTPN12" "protein tyrosine phosphatase non-receptor type 12"
"5240" "ENSG00000127951" "FGL2" "fibrinogen like 2"
"5244" "ENSG00000127980" "PEX1" "peroxisomal biogenesis factor 1"
"5245" "ENSG00000127989" "MTERF1" "mitochondrial transcription termination factor 1"
"5246" "ENSG00000127990" "SGCE" "sarcoglycan epsilon"
"5248" "ENSG00000127995" "CASD1" "CAS1 domain containing 1"
"5249" "ENSG00000128000" "ZNF780B" "zinc finger protein 780B"
"5250" "ENSG00000128011" "LRFN1" "leucine rich repeat and fibronectin type III domain containing 1"
"5251" "ENSG00000128016" "ZFP36" "ZFP36 ring finger protein"
"5252" "ENSG00000128039" "SRD5A3" "steroid 5 alpha-reductase 3"
"5254" "ENSG00000128059" "PPAT" "phosphoribosyl pyrophosphate amidotransferase"
"5256" "ENSG00000128165" "ADM2" "adrenomedullin 2"
"5257" "ENSG00000128185" "DGCR6L" "DiGeorge syndrome critical region gene 6 like"
"5258" "ENSG00000128191" "DGCR8" "DGCR8 microprocessor complex subunit"
"5259" "ENSG00000128203" "ASPHD2" "aspartate beta-hydroxylase domain containing 2"
"5260" "ENSG00000128228" "SDF2L1" "stromal cell derived factor 2 like 1"
"5262" "ENSG00000128266" "GNAZ" "G protein subunit alpha z"
"5263" "ENSG00000128268" "MGAT3" "beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"5264" "ENSG00000128271" "ADORA2A" "adenosine A2a receptor"
"5268" "ENSG00000128284" "APOL3" "apolipoprotein L3"
"5269" "ENSG00000128285" "MCHR1" "melanin concentrating hormone receptor 1"
"5270" "ENSG00000128294" "TPST2" "tyrosylprotein sulfotransferase 2"
"5271" "ENSG00000128298" "BAIAP2L2" "BAR/IMD domain containing adaptor protein 2 like 2"
"5272" "ENSG00000128309" "MPST" "mercaptopyruvate sulfurtransferase"
"5273" "ENSG00000128311" "TST" "thiosulfate sulfurtransferase"
"5274" "ENSG00000128335" "APOL2" "apolipoprotein L2"
"5275" "ENSG00000128340" "RAC2" "Rac family small GTPase 2"
"5276" "ENSG00000128342" "LIF" "LIF interleukin 6 family cytokine"
"5277" "ENSG00000128346" "C22orf23" "chromosome 22 open reading frame 23"
"5278" "ENSG00000128383" "APOBEC3A" "apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"5279" "ENSG00000128394" "APOBEC3F" "apolipoprotein B mRNA editing enzyme catalytic subunit 3F"
"5280" "ENSG00000128408" "RIBC2" "RIB43A domain with coiled-coils 2"
"5281" "ENSG00000128422" "KRT17" "keratin 17"
"5282" "ENSG00000128463" "EMC4" "ER membrane protein complex subunit 4"
"5284" "ENSG00000128510" "CPA4" "carboxypeptidase A4"
"5285" "ENSG00000128512" "DOCK4" "dedicator of cytokinesis 4"
"5286" "ENSG00000128513" "POT1" "protection of telomeres 1"
"5288" "ENSG00000128534" "LSM8" "LSM8 homolog, U6 small nuclear RNA associated"
"5289" "ENSG00000128536" "CDHR3" "cadherin related family member 3"
"5292" "ENSG00000128573" "FOXP2" "forkhead box P2"
"5293" "ENSG00000128578" "STRIP2" "striatin interacting protein 2"
"5294" "ENSG00000128581" "IFT22" "intraflagellar transport 22"
"5296" "ENSG00000128590" "DNAJB9" "DnaJ heat shock protein family (Hsp40) member B9"
"5297" "ENSG00000128591" "FLNC" "filamin C"
"5300" "ENSG00000128596" "CCDC136" "coiled-coil domain containing 136"
"5301" "ENSG00000128602" "SMO" "smoothened, frizzled class receptor"
"5303" "ENSG00000128606" "LRRC17" "leucine rich repeat containing 17"
"5304" "ENSG00000128607" "KLHDC10" "kelch domain containing 10"
"5306" "ENSG00000128610" "FEZF1" "FEZ family zinc finger 1"
"5307" "ENSG00000128626" "MRPS12" "mitochondrial ribosomal protein S12"
"5308" "ENSG00000128641" "MYO1B" "myosin IB"
"5309" "ENSG00000128654" "MTX2" "metaxin 2"
"5310" "ENSG00000128655" "PDE11A" "phosphodiesterase 11A"
"5311" "ENSG00000128656" "CHN1" "chimerin 1"
"5312" "ENSG00000128683" "GAD1" "glutamate decarboxylase 1"
"5313" "ENSG00000128694" "OSGEPL1" "O-sialoglycoprotein endopeptidase like 1"
"5314" "ENSG00000128699" "ORMDL1" "ORMDL sphingolipid biosynthesis regulator 1"
"5316" "ENSG00000128731" "HERC2" "HECT and RLD domain containing E3 ubiquitin protein ligase 2"
"5317" "ENSG00000128739" "SNRPN" "small nuclear ribonucleoprotein polypeptide N"
"5319" "ENSG00000128791" "TWSG1" "twisted gastrulation BMP signaling modulator 1"
"5320" "ENSG00000128805" "ARHGAP22" "Rho GTPase activating protein 22"
"5321" "ENSG00000128815" "WDFY4" "WDFY family member 4"
"5322" "ENSG00000128829" "EIF2AK4" "eukaryotic translation initiation factor 2 alpha kinase 4"
"5323" "ENSG00000128833" "MYO5C" "myosin VC"
"5324" "ENSG00000128849" "CGNL1" "cingulin like 1"
"5325" "ENSG00000128872" "TMOD2" "tropomodulin 2"
"5326" "ENSG00000128881" "TTBK2" "tau tubulin kinase 2"
"5327" "ENSG00000128886" "ELL3" "elongation factor for RNA polymerase II 3"
"5330" "ENSG00000128915" "ICE2" "interactor of little elongation complex ELL subunit 2"
"5331" "ENSG00000128917" "DLL4" "delta like canonical Notch ligand 4"
"5332" "ENSG00000128918" "ALDH1A2" "aldehyde dehydrogenase 1 family member A2"
"5334" "ENSG00000128928" "IVD" "isovaleryl-CoA dehydrogenase"
"5335" "ENSG00000128944" "KNSTRN" "kinetochore localized astrin (SPAG5) binding protein"
"5337" "ENSG00000128965" "CHAC1" "ChaC glutathione specific gamma-glutamylcyclotransferase 1"
"5338" "ENSG00000128973" "CLN6" "CLN6 transmembrane ER protein"
"5341" "ENSG00000129007" "CALML4" "calmodulin like 4"
"5342" "ENSG00000129009" "ISLR" "immunoglobulin superfamily containing leucine rich repeat"
"5343" "ENSG00000129028" "THAP10" "THAP domain containing 10"
"5344" "ENSG00000129038" "LOXL1" "lysyl oxidase like 1"
"5345" "ENSG00000129048" "ACKR4" "atypical chemokine receptor 4"
"5346" "ENSG00000129055" "ANAPC13" "anaphase promoting complex subunit 13"
"5347" "ENSG00000129071" "MBD4" "methyl-CpG binding domain 4, DNA glycosylase"
"5349" "ENSG00000129084" "PSMA1" "proteasome 20S subunit alpha 1"
"5350" "ENSG00000129103" "SUMF2" "sulfatase modifying factor 2"
"5353" "ENSG00000129151" "BBOX1" "gamma-butyrobetaine hydroxylase 1"
"5354" "ENSG00000129158" "SERGEF" "secretion regulating guanine nucleotide exchange factor"
"5355" "ENSG00000129159" "KCNC1" "potassium voltage-gated channel subfamily C member 1"
"5356" "ENSG00000129167" "TPH1" "tryptophan hydroxylase 1"
"5357" "ENSG00000129170" "CSRP3" "cysteine and glycine rich protein 3"
"5358" "ENSG00000129173" "E2F8" "E2F transcription factor 8"
"5359" "ENSG00000129187" "DCTD" "dCMP deaminase"
"5360" "ENSG00000129194" "SOX15" "SRY-box transcription factor 15"
"5361" "ENSG00000129195" "PIMREG" "PICALM interacting mitotic regulator"
"5363" "ENSG00000129204" "USP6" "ubiquitin specific peptidase 6"
"5364" "ENSG00000129219" "PLD2" "phospholipase D2"
"5365" "ENSG00000129221" "AIPL1" "aryl hydrocarbon receptor interacting protein like 1"
"5366" "ENSG00000129226" "CD68" "CD68 molecule"
"5367" "ENSG00000129235" "TXNDC17" "thioredoxin domain containing 17"
"5368" "ENSG00000129244" "ATP1B2" "ATPase Na+/K+ transporting subunit beta 2"
"5369" "ENSG00000129245" "FXR2" "FMR1 autosomal homolog 2"
"5373" "ENSG00000129295" "LRRC6" "leucine rich repeat containing 6"
"5376" "ENSG00000129347" "KRI1" "KRI1 homolog"
"5380" "ENSG00000129355" "CDKN2D" "cyclin dependent kinase inhibitor 2D"
"5381" "ENSG00000129422" "MTUS1" "microtubule associated scaffold protein 1"
"5382" "ENSG00000129450" "SIGLEC9" "sialic acid binding Ig like lectin 9"
"5383" "ENSG00000129451" "KLK10" "kallikrein related peptidase 10"
"5384" "ENSG00000129460" "NGDN" "neuroguidin"
"5385" "ENSG00000129465" "RIPK3" "receptor interacting serine/threonine kinase 3"
"5386" "ENSG00000129467" "ADCY4" "adenylate cyclase 4"
"5387" "ENSG00000129472" "RAB2B" "RAB2B, member RAS oncogene family"
"5388" "ENSG00000129473" "BCL2L2" "BCL2 like 2"
"5389" "ENSG00000129474" "AJUBA" "ajuba LIM protein"
"5390" "ENSG00000129480" "DTD2" "D-aminoacyl-tRNA deacylase 2"
"5391" "ENSG00000129484" "PARP2" "poly(ADP-ribose) polymerase 2"
"5393" "ENSG00000129514" "FOXA1" "forkhead box A1"
"5396" "ENSG00000129521" "EGLN3" "egl-9 family hypoxia inducible factor 3"
"5397" "ENSG00000129534" "MIS18BP1" "MIS18 binding protein 1"
"5398" "ENSG00000129535" "NRL" "neural retina leucine zipper"
"5399" "ENSG00000129538" "RNASE1" "ribonuclease A family member 1, pancreatic"
"5403" "ENSG00000129595" "EPB41L4A" "erythrocyte membrane protein band 4.1 like 4A"
"5405" "ENSG00000129636" "ITFG1" "integrin alpha FG-GAP repeat containing 1"
"5406" "ENSG00000129646" "QRICH2" "glutamine rich 2"
"5407" "ENSG00000129654" "FOXJ1" "forkhead box J1"
"5409" "ENSG00000129667" "RHBDF2" "rhomboid 5 homolog 2"
"5410" "ENSG00000129673" "AANAT" "aralkylamine N-acetyltransferase"
"5412" "ENSG00000129680" "MAP7D3" "MAP7 domain containing 3"
"5413" "ENSG00000129682" "FGF13" "fibroblast growth factor 13"
"5415" "ENSG00000129696" "TTI2" "TELO2 interacting protein 2"
"5416" "ENSG00000129744" "ART1" "ADP-ribosyltransferase 1"
"5417" "ENSG00000129749" "CHRNA10" "cholinergic receptor nicotinic alpha 10 subunit"
"5418" "ENSG00000129757" "CDKN1C" "cyclin dependent kinase inhibitor 1C"
"5419" "ENSG00000129810" "SGO1" "shugoshin 1"
"5420" "ENSG00000129824" "RPS4Y1" "ribosomal protein S4 Y-linked 1"
"5421" "ENSG00000129911" "KLF16" "Kruppel like factor 16"
"5423" "ENSG00000129932" "DOHH" "deoxyhypusine hydroxylase"
"5425" "ENSG00000129946" "SHC2" "SHC adaptor protein 2"
"5426" "ENSG00000129951" "PLPPR3" "phospholipid phosphatase related 3"
"5428" "ENSG00000129990" "SYT5" "synaptotagmin 5"
"5429" "ENSG00000129991" "TNNI3" "troponin I3, cardiac type"
"5430" "ENSG00000129993" "CBFA2T3" "CBFA2/RUNX1 partner transcriptional co-repressor 3"
"5431" "ENSG00000130005" "GAMT" "guanidinoacetate N-methyltransferase"
"5432" "ENSG00000130021" "PUDP" "pseudouridine 5'-phosphatase"
"5433" "ENSG00000130023" "ERMARD" "ER membrane associated RNA degradation"
"5434" "ENSG00000130024" "PHF10" "PHD finger protein 10"
"5435" "ENSG00000130032" "PRRG3" "proline rich and Gla domain 3"
"5436" "ENSG00000130038" "CRACR2A" "calcium release activated channel regulator 2A"
"5437" "ENSG00000130045" "NXNL2" "nucleoredoxin like 2"
"5438" "ENSG00000130052" "STARD8" "StAR related lipid transfer domain containing 8"
"5439" "ENSG00000130055" "GDPD2" "glycerophosphodiester phosphodiesterase domain containing 2"
"5442" "ENSG00000130147" "SH3BP4" "SH3 domain binding protein 4"
"5443" "ENSG00000130150" "MOSPD2" "motile sperm domain containing 2"
"5444" "ENSG00000130158" "DOCK6" "dedicator of cytokinesis 6"
"5445" "ENSG00000130159" "ECSIT" "ECSIT signaling integrator"
"5448" "ENSG00000130167" "TSPAN16" "tetraspanin 16"
"5449" "ENSG00000130175" "PRKCSH" "protein kinase C substrate 80K-H"
"5450" "ENSG00000130176" "CNN1" "calponin 1"
"5451" "ENSG00000130177" "CDC16" "cell division cycle 16"
"5452" "ENSG00000130193" "THEM6" "thioesterase superfamily member 6"
"5453" "ENSG00000130202" "NECTIN2" "nectin cell adhesion molecule 2"
"5454" "ENSG00000130203" "APOE" "apolipoprotein E"
"5455" "ENSG00000130204" "TOMM40" "translocase of outer mitochondrial membrane 40"
"5456" "ENSG00000130208" "APOC1" "apolipoprotein C1"
"5457" "ENSG00000130222" "GADD45G" "growth arrest and DNA damage inducible gamma"
"5458" "ENSG00000130226" "DPP6" "dipeptidyl peptidase like 6"
"5460" "ENSG00000130234" "ACE2" "angiotensin I converting enzyme 2"
"5461" "ENSG00000130244" "FAM98C" "family with sequence similarity 98 member C"
"5464" "ENSG00000130270" "ATP8B3" "ATPase phospholipid transporting 8B3"
"5465" "ENSG00000130294" "KIF1A" "kinesin family member 1A"
"5466" "ENSG00000130299" "GTPBP3" "GTP binding protein 3, mitochondrial"
"5467" "ENSG00000130300" "PLVAP" "plasmalemma vesicle associated protein"
"5468" "ENSG00000130303" "BST2" "bone marrow stromal cell antigen 2"
"5470" "ENSG00000130305" "NSUN5" "NOP2/Sun RNA methyltransferase 5"
"5471" "ENSG00000130307" "USHBP1" "USH1 protein network component harmonin binding protein 1"
"5472" "ENSG00000130309" "COLGALT1" "collagen beta(1-O)galactosyltransferase 1"
"5473" "ENSG00000130311" "DDA1" "DET1 and DDB1 associated 1"
"5475" "ENSG00000130313" "PGLS" "6-phosphogluconolactonase"
"5479" "ENSG00000130347" "RTN4IP1" "reticulon 4 interacting protein 1"
"5480" "ENSG00000130348" "QRSL1" "glutaminyl-tRNA amidotransferase subunit QRSL1"
"5481" "ENSG00000130349" "MTRES1" "mitochondrial transcription rescue factor 1"
"5482" "ENSG00000130363" "RSPH3" "radial spoke head 3"
"5483" "ENSG00000130368" "MAS1" "MAS1 proto-oncogene, G protein-coupled receptor"
"5485" "ENSG00000130396" "AFDN" "afadin, adherens junction formation factor"
"5487" "ENSG00000130413" "STK33" "serine/threonine kinase 33"
"5490" "ENSG00000130433" "CACNG6" "calcium voltage-gated channel auxiliary subunit gamma 6"
"5492" "ENSG00000130475" "FCHO1" "FCH and mu domain containing endocytic adaptor 1"
"5493" "ENSG00000130477" "UNC13A" "unc-13 homolog A"
"5495" "ENSG00000130487" "KLHDC7B" "kelch domain containing 7B"
"5496" "ENSG00000130508" "PXDN" "peroxidasin"
"5498" "ENSG00000130513" "GDF15" "growth differentiation factor 15"
"5499" "ENSG00000130517" "PGPEP1" "pyroglutamyl-peptidase I"
"5500" "ENSG00000130518" "IQCN" "IQ motif containing N"
"5501" "ENSG00000130520" "LSM4" "LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"
"5503" "ENSG00000130528" "HRC" "histidine rich calcium binding protein"
"5504" "ENSG00000130529" "TRPM4" "transient receptor potential cation channel subfamily M member 4"
"5506" "ENSG00000130545" "CRB3" "crumbs cell polarity complex component 3"
"5507" "ENSG00000130559" "CAMSAP1" "calmodulin regulated spectrin associated protein 1"
"5508" "ENSG00000130560" "UBAC1" "UBA domain containing 1"
"5509" "ENSG00000130561" "SAG" "S-antigen visual arrestin"
"5510" "ENSG00000130584" "ZBTB46" "zinc finger and BTB domain containing 46"
"5511" "ENSG00000130589" "HELZ2" "helicase with zinc finger 2"
"5512" "ENSG00000130590" "SAMD10" "sterile alpha motif domain containing 10"
"5513" "ENSG00000130592" "LSP1" "lymphocyte specific protein 1"
"5514" "ENSG00000130595" "TNNT3" "troponin T3, fast skeletal type"
"5515" "ENSG00000130598" "TNNI2" "troponin I2, fast skeletal type"
"5516" "ENSG00000130635" "COL5A1" "collagen type V alpha 1 chain"
"5519" "ENSG00000130649" "CYP2E1" "cytochrome P450 family 2 subfamily E member 1"
"5520" "ENSG00000130653" "PNPLA7" "patatin like phospholipase domain containing 7"
"5521" "ENSG00000130669" "PAK4" "p21 (RAC1) activated kinase 4"
"5522" "ENSG00000130684" "ZNF337" "zinc finger protein 337"
"5523" "ENSG00000130695" "CEP85" "centrosomal protein 85"
"5525" "ENSG00000130701" "RBBP8NL" "RBBP8 N-terminal like"
"5526" "ENSG00000130702" "LAMA5" "laminin subunit alpha 5"
"5527" "ENSG00000130703" "OSBPL2" "oxysterol binding protein like 2"
"5529" "ENSG00000130707" "ASS1" "argininosuccinate synthase 1"
"5530" "ENSG00000130713" "EXOSC2" "exosome component 2"
"5531" "ENSG00000130714" "POMT1" "protein O-mannosyltransferase 1"
"5532" "ENSG00000130717" "UCK1" "uridine-cytidine kinase 1"
"5537" "ENSG00000130731" "METTL26" "methyltransferase like 26"
"5538" "ENSG00000130733" "YIPF2" "Yip1 domain family member 2"
"5539" "ENSG00000130734" "ATG4D" "autophagy related 4D cysteine peptidase"
"5541" "ENSG00000130748" "TMEM160" "transmembrane protein 160"
"5543" "ENSG00000130751" "NPAS1" "neuronal PAS domain protein 1"
"5544" "ENSG00000130755" "GMFG" "glia maturation factor gamma"
"5545" "ENSG00000130758" "MAP3K10" "mitogen-activated protein kinase kinase kinase 10"
"5546" "ENSG00000130762" "ARHGEF16" "Rho guanine nucleotide exchange factor 16"
"5548" "ENSG00000130766" "SESN2" "sestrin 2"
"5549" "ENSG00000130768" "SMPDL3B" "sphingomyelin phosphodiesterase acid like 3B"
"5550" "ENSG00000130770" "ATP5IF1" "ATP synthase inhibitory factor subunit 1"
"5551" "ENSG00000130772" "MED18" "mediator complex subunit 18"
"5552" "ENSG00000130775" "THEMIS2" "thymocyte selection associated family member 2"
"5554" "ENSG00000130783" "CCDC62" "coiled-coil domain containing 62"
"5555" "ENSG00000130787" "HIP1R" "huntingtin interacting protein 1 related"
"5556" "ENSG00000130803" "ZNF317" "zinc finger protein 317"
"5559" "ENSG00000130813" "SHFL" "shiftless antiviral inhibitor of ribosomal frameshifting"
"5563" "ENSG00000130822" "PNCK" "pregnancy up-regulated nonubiquitous CaM kinase"
"5565" "ENSG00000130827" "PLXNA3" "plexin A3"
"5566" "ENSG00000130830" "MPP1" "membrane palmitoylated protein 1"
"5567" "ENSG00000130844" "ZNF331" "zinc finger protein 331"
"5568" "ENSG00000130856" "ZNF236" "zinc finger protein 236"
"5569" "ENSG00000130881" "LRP3" "LDL receptor related protein 3"
"5572" "ENSG00000130939" "UBE4B" "ubiquitination factor E4B"
"5573" "ENSG00000130940" "CASZ1" "castor zinc finger 1"
"5574" "ENSG00000130943" "PKDREJ" "polycystin family receptor for egg jelly"
"5575" "ENSG00000130948" "HSD17B3" "hydroxysteroid 17-beta dehydrogenase 3"
"5576" "ENSG00000130956" "HABP4" "hyaluronan binding protein 4"
"5577" "ENSG00000130958" "SLC35D2" "solute carrier family 35 member D2"
"5578" "ENSG00000130962" "PRRG1" "proline rich and Gla domain 1"
"5580" "ENSG00000130988" "RGN" "regucalcin"
"5581" "ENSG00000130997" "POLN" "DNA polymerase nu"
"5583" "ENSG00000131016" "AKAP12" "A-kinase anchoring protein 12"
"5585" "ENSG00000131019" "ULBP3" "UL16 binding protein 3"
"5587" "ENSG00000131037" "EPS8L1" "EPS8 like 1"
"5588" "ENSG00000131042" "LILRB2" "leukocyte immunoglobulin like receptor B2"
"5589" "ENSG00000131043" "AAR2" "AAR2 splicing factor"
"5590" "ENSG00000131044" "TTLL9" "tubulin tyrosine ligase like 9"
"5591" "ENSG00000131050" "BPIFA2" "BPI fold containing family A member 2"
"5593" "ENSG00000131061" "ZNF341" "zinc finger protein 341"
"5594" "ENSG00000131067" "GGT7" "gamma-glutamyltransferase 7"
"5595" "ENSG00000131069" "ACSS2" "acyl-CoA synthetase short chain family member 2"
"5596" "ENSG00000131089" "ARHGEF9" "Cdc42 guanine nucleotide exchange factor 9"
"5597" "ENSG00000131095" "GFAP" "glial fibrillary acidic protein"
"5599" "ENSG00000131115" "ZNF227" "zinc finger protein 227"
"5600" "ENSG00000131116" "ZNF428" "zinc finger protein 428"
"5603" "ENSG00000131148" "EMC8" "ER membrane protein complex subunit 8"
"5605" "ENSG00000131153" "GINS2" "GINS complex subunit 2"
"5609" "ENSG00000131187" "F12" "coagulation factor XII"
"5610" "ENSG00000131188" "PRR7" "proline rich 7, synaptic"
"5611" "ENSG00000131196" "NFATC1" "nuclear factor of activated T cells 1"
"5612" "ENSG00000131203" "IDO1" "indoleamine 2,3-dioxygenase 1"
"5613" "ENSG00000131233" "GJA9" "gap junction protein alpha 9"
"5620" "ENSG00000131351" "HAUS8" "HAUS augmin like complex subunit 8"
"5621" "ENSG00000131355" "ADGRE3" "adhesion G protein-coupled receptor E3"
"5624" "ENSG00000131373" "HACL1" "2-hydroxyacyl-CoA lyase 1"
"5627" "ENSG00000131378" "RFTN1" "raftlin, lipid raft linker 1"
"5628" "ENSG00000131379" "C3orf20" "chromosome 3 open reading frame 20"
"5630" "ENSG00000131386" "GALNT15" "polypeptide N-acetylgalactosaminyltransferase 15"
"5632" "ENSG00000131398" "KCNC3" "potassium voltage-gated channel subfamily C member 3"
"5633" "ENSG00000131400" "NAPSA" "napsin A aspartic peptidase"
"5634" "ENSG00000131408" "NR1H2" "nuclear receptor subfamily 1 group H member 2"
"5635" "ENSG00000131435" "PDLIM4" "PDZ and LIM domain 4"
"5636" "ENSG00000131437" "KIF3A" "kinesin family member 3A"
"5637" "ENSG00000131446" "MGAT1" "alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
"5638" "ENSG00000131459" "GFPT2" "glutamine-fructose-6-phosphate transaminase 2"
"5639" "ENSG00000131462" "TUBG1" "tubulin gamma 1"
"5642" "ENSG00000131470" "PSMC3IP" "PSMC3 interacting protein"
"5643" "ENSG00000131471" "AOC3" "amine oxidase copper containing 3"
"5646" "ENSG00000131480" "AOC2" "amine oxidase copper containing 2"
"5647" "ENSG00000131482" "G6PC" "glucose-6-phosphatase catalytic subunit"
"5651" "ENSG00000131507" "NDFIP1" "Nedd4 family interacting protein 1"
"5654" "ENSG00000131584" "ACAP3" "ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"5655" "ENSG00000131591" "C1orf159" "chromosome 1 open reading frame 159"
"5656" "ENSG00000131620" "ANO1" "anoctamin 1"
"5658" "ENSG00000131634" "TMEM204" "transmembrane protein 204"
"5659" "ENSG00000131652" "THOC6" "THO complex 6"
"5660" "ENSG00000131653" "TRAF7" "TNF receptor associated factor 7"
"5661" "ENSG00000131669" "NINJ1" "ninjurin 1"
"5662" "ENSG00000131686" "CA6" "carbonic anhydrase 6"
"5663" "ENSG00000131697" "NPHP4" "nephrocystin 4"
"5664" "ENSG00000131711" "MAP1B" "microtubule associated protein 1B"
"5665" "ENSG00000131721" "RHOXF2" "Rhox homeobox family member 2"
"5668" "ENSG00000131730" "CKMT2" "creatine kinase, mitochondrial 2"
"5669" "ENSG00000131732" "ZCCHC9" "zinc finger CCHC-type containing 9"
"5670" "ENSG00000131746" "TNS4" "tensin 4"
"5671" "ENSG00000131747" "TOP2A" "DNA topoisomerase II alpha"
"5673" "ENSG00000131759" "RARA" "retinoic acid receptor alpha"
"5674" "ENSG00000131771" "PPP1R1B" "protein phosphatase 1 regulatory inhibitor subunit 1B"
"5675" "ENSG00000131773" "KHDRBS3" "KH RNA binding domain containing, signal transduction associated 3"
"5676" "ENSG00000131778" "CHD1L" "chromodomain helicase DNA binding protein 1 like"
"5677" "ENSG00000131779" "PEX11B" "peroxisomal biogenesis factor 11 beta"
"5678" "ENSG00000131781" "FMO5" "flavin containing dimethylaniline monoxygenase 5"
"5679" "ENSG00000131788" "PIAS3" "protein inhibitor of activated STAT 3"
"5680" "ENSG00000131791" "PRKAB2" "protein kinase AMP-activated non-catalytic subunit beta 2"
"5682" "ENSG00000131831" "RAI2" "retinoic acid induced 2"
"5683" "ENSG00000131844" "MCCC2" "methylcrotonoyl-CoA carboxylase 2"
"5684" "ENSG00000131845" "ZNF304" "zinc finger protein 304"
"5685" "ENSG00000131848" "ZSCAN5A" "zinc finger and SCAN domain containing 5A"
"5686" "ENSG00000131849" "ZNF132" "zinc finger protein 132"
